root cubes at depth 2 (rule (a) only): open=25339 short(stop)=154 total=25493
to run: 25493 cubes (0 already journaled; skipped {}; retry=['error'])
solver: cadical /Users/jiaruixu/work_space/smp-max/cadical-src/build/cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
base formula: 84882 vars, 2709212 clauses, 48.7 MB, sha256 28421fb68b0f494b..., built in 1.9s
journal header written: base_sha256=28421fb68b0f494b99d1918aa64cff248443161dc7a6c220e0c3e895a67df59b solver=cadical (Version 3.0.1 c60730422e758ef1cebe7aeddf2dda31c996bf04)
[81/25493   337.9s] 0,1,4,2,3,5;1,4,2,5: verified [cadical] solve=4.99s lrat=184.0MB cake=13.93s cnf_sha=30c8d747e07c
[82/25493   339.3s] 0,4,3,1,2;0,4,3,1,5: verified [cadical] solve=5.83s lrat=175.5MB cake=7.08s cnf_sha=ee40aaa94d68
[83/25493   343.8s] 0,5,2,3,4,1;0,5,2,3,4: verified [cadical] solve=1.06s lrat=59.5MB cake=5.32s cnf_sha=e5a97fc4a3d4
[84/25493   344.6s] 0,3,5,2,4,1;0,5,1: verified [cadical] solve=19.99s lrat=637.6MB cake=33.82s cnf_sha=57cff93a37f6
[85/25493   345.0s] 0,5,1,2,4,3;0,4,3,5,1,2: verified [cadical] solve=0.82s lrat=39.0MB cake=4.46s cnf_sha=8923b1041a19
[86/25493   345.4s] 0,5,2,1,4,3;0,5,4,3,1: verified [cadical] solve=1.13s lrat=58.4MB cake=5.99s cnf_sha=589c9ddb5171
[87/25493   345.6s] 0,4,3,5,1,2;0,5,1,3,2: verified [cadical] solve=1.33s lrat=67.7MB cake=6.17s cnf_sha=a10857609b91
[88/25493   352.1s] 0,1,5,4,3,2;0,5,3,2,4: verified [cadical] solve=1.57s lrat=70.1MB cake=4.58s cnf_sha=38e2da9156b3
[89/25493   352.5s] 0,2,5,1,4,3;0,2,5,3: verified [cadical] solve=2.74s lrat=114.8MB cake=5.52s cnf_sha=c84b1092e155
[90/25493   354.1s] 0,5,4,1,3,2;0,5,1,2: verified [cadical] solve=2.63s lrat=102.9MB cake=6.09s cnf_sha=7f20a263bb57
